"","generic","english","brandname","class_indication","searchterm"
"247","nortriptyliini","nortriptylin","Noritren|Noritren","Antidepressant","nortriptyliini|nortriptylin|noritren|noritren"
"248","donepetsiili","donepezil","Donepezil Accord|Donepezil Krka|Donepezil Krka|Donepezil Orion|Donepezil Orion|Donepezil Accord|Aricept|Aricept|Zauton|Donepezil Krka|Donepezil Krka|Donepezil Orion|Aricept|Aricept|Donepezil Orion|Donepezil Accord|Zauton|Donepezil Accord",NA,"donepetsiili|donepezil|donepezil accord|donepezil krka|donepezil krka|donepezil orion|donepezil orion|donepezil accord|aricept|aricept|zauton|donepezil krka|donepezil krka|donepezil orion|aricept|aricept|donepezil orion|donepezil accord|zauton|donepezil accord"
"249","dopamiini","dopamin","Dopmin|Dopmin",NA,"dopamiini|dopamin|dopmin|dopmin"
"250",NA,"Nortriptyline","Pamelor","Antidepressant","nortriptyline|pamelor"
"251","dortsolamidi","dorzolamides","Trusopt|Aikum",NA,"dortsolamidi|dorzolamides|trusopt|aikum"
"252","paroksetiini","paroxetin","Optipar|Optipar|Optipar|Seroxat|Seroxat|Paroxetin Orion|Paroxetin Orion|Paroxetin Orion|Optipar","Antidepressant","paroksetiini|paroxetin|optipar|optipar|optipar|seroxat|seroxat|paroxetin orion|paroxetin orion|paroxetin orion|optipar"
"253","doksorubisiini","doxorubicin","Doxorubicin Accord|Doxorubicin Ebewe|Doxorubicin Ebewe|Doxorubicin Ebewe|Doxorubicin Ebewe|Doxorubicin Medac|Doxorubicin Medac|Doxorubicin Accord|Doxorubicin Accord|Doxorubicin Accord|Caelyx Pegylated Liposomal",NA,"doksorubisiini|doxorubicin|doxorubicin accord|doxorubicin ebewe|doxorubicin ebewe|doxorubicin ebewe|doxorubicin ebewe|doxorubicin medac|doxorubicin medac|doxorubicin accord|doxorubicin accord|doxorubicin accord|caelyx pegylated liposomal"
"254",NA,"Paroxetin","Paxil","Antidepressant","paroxetin|paxil"
"255","sertraliini","sertralin","Sertralin Krka|Sertralin Krka|Zoloft|Zoloft|Sertralin ratiopharm|Sertralin Hexal|Sertralin ratiopharm|Sertralin Orion|Sertralin ratiopharm|Sertraline Accord|Sertralin Orion|Sertralin Orion|Sertraline Accord|Sertralin Krka|Sertralin Krka|Zoloft|Zoloft|Sertralin Orion|Sertralin ratiopharm|Sertraline Accord|Sertraline Accord|Sertralin Orion|Sertralin Orion|Sertralin Hexal|Sertralin ratiopharm","Antidepressant","sertraliini|sertralin|sertralin krka|sertralin krka|zoloft|zoloft|sertralin ratiopharm|sertralin hexal|sertralin ratiopharm|sertralin orion|sertralin ratiopharm|sertraline accord|sertralin orion|sertralin orion|sertraline accord|sertralin krka|sertralin krka|zoloft|zoloft|sertralin orion|sertralin ratiopharm|sertraline accord|sertraline accord|sertralin orion|sertralin orion|sertralin hexal|sertralin ratiopharm"
"256","drospirenoni ja estrogeeni","drospirenone and estrogen","Angeliq",NA,"drospirenoni ja estrogeeni|drospirenone and estrogen|angeliq"
"257","drospirenoni ja etinyyliestradioli","drospirenone and ethinyl estradiol","Yasmin|Yasmin|Yasmin|Yasmin|Yasmin|Yasmin|Yasmin|Yasmin|Yasminelle|Yasminelle|Yasminelle|Yasminelle|Yasminelle|Yasminelle|Yaz|Yaz|Yaz|Yaz|Yaz|Tasminetta|Tasminetta|Tasminetta|Tasminetta|Tasminetta|Stefaminelle|Stefaminelle|Stefaminelle|Stefaminelle|Stefaminelle|Dizminelle|Dizminelle|Dizminelle|Dizminelle",NA,"drospirenoni ja etinyyliestradioli|drospirenone and ethinyl estradiol|yasmin|yasmin|yasmin|yasmin|yasmin|yasmin|yasmin|yasmin|yasminelle|yasminelle|yasminelle|yasminelle|yasminelle|yasminelle|yaz|yaz|yaz|yaz|yaz|tasminetta|tasminetta|tasminetta|tasminetta|tasminetta|stefaminelle|stefaminelle|stefaminelle|stefaminelle|stefaminelle|dizminelle|dizminelle|dizminelle|dizminelle"
"258",NA,"Sertraline","Zoloft","Antidepressant","sertraline|zoloft"
"259",NA,"Trazodone","Desyrel","Antidepressant","trazodone|desyrel"
"260","dupilumabi","dupilumab","Dupixent",NA,"dupilumabi|dupilumab|dupixent"
"261","durvalumabi","durvalumab","Imfinzi|Imfinzi",NA,"durvalumabi|durvalumab|imfinzi|imfinzi"
"262","dutasteridi","dutasteride","Avodart|Avodart|Dutasteride Accord|Dutasteride Krka|Dutasteride Medical Valley|Dutasteride Stada|Dutasteride Ratiopharm|Dutasteride Ratiopharm|Dutasteride Medical Valley|Dutasteride Krka|Dutasteride Accord|Dutester|Dutester|Dutasteride Stada",NA,"dutasteridi|dutasteride|avodart|avodart|dutasteride accord|dutasteride krka|dutasteride medical valley|dutasteride stada|dutasteride ratiopharm|dutasteride ratiopharm|dutasteride medical valley|dutasteride krka|dutasteride accord|dutester|dutester|dutasteride stada"
"263",NA,"Dutasteride","Avodart",NA,"dutasteride|avodart"
"264","ebastiini","ebastin","Kestine|Kestine|Kestine|Kestox|Kestox|Kestox|Kestox|Ebastin Orion|Kestine Lyo|Kestine Lyo|Kestine Lyo|Kestox|Kestox|Kestox|Ebastin Orion",NA,"ebastiini|ebastin|kestine|kestine|kestine|kestox|kestox|kestox|kestox|ebastin orion|kestine lyo|kestine lyo|kestine lyo|kestox|kestox|kestox|ebastin orion"
"265","edoksabaani","edoxaban","Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana|Lixiana",NA,"edoksabaani|edoxaban|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana|lixiana"
"266","venlafaksiini","venlafaxin","Efexor Depot|Venlafaxin Orion|Venlafaxin Krka|Venlafaxin Krka|Venlafaxin Krka|Venlafaxin ratiopharm|Venlafaxin ratiopharm|Venlafaxin ratiopharm|Venlafaxin Orion|Venlafaxin Orion|Venlafaxin Krka|Venlafaxin Krka|Venlafaxin Krka|Efexor Depot|Venlafaxin ratiopharm|Venlafaxin ratiopharm|Venlafaxine Bluefish|Venlafaxine Bluefish|Venlafaxin Orion|Venlafaxin Orion|Venlafaxin Krka|Venlafaxin Krka|Venlafaxin ratiopharm|Venlafaxine Bluefish|Venlafaxine Bluefish|Venlafaxin Krka|Venlafaxin Krka|Venlafaxin ratiopharm|Efexor Depot|Venlafaxin Krka","Antidepressant","venlafaksiini|venlafaxin|efexor depot|venlafaxin orion|venlafaxin krka|venlafaxin krka|venlafaxin krka|venlafaxin ratiopharm|venlafaxin ratiopharm|venlafaxin ratiopharm|venlafaxin orion|venlafaxin orion|venlafaxin krka|venlafaxin krka|venlafaxin krka|efexor depot|venlafaxin ratiopharm|venlafaxin ratiopharm|venlafaxine bluefish|venlafaxine bluefish|venlafaxin orion|venlafaxin orion|venlafaxin krka|venlafaxin krka|venlafaxin ratiopharm|venlafaxine bluefish|venlafaxine bluefish|venlafaxin krka|venlafaxin krka|venlafaxin ratiopharm|efexor depot|venlafaxin krka"
"267","elektrolyytit","electrolytes","Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Baxter Viaflo|Natriumklorid Baxter Viaflo|Natriumklorid Fresenius Kabi|Natriumklorid Baxter|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Baxter Viaflo|Natriumklorid B. Braun|Natriumklorid Fresenius Kabi|Natriumklorid B. Braun|Natriumklorid Baxter Viaflo|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Baxter Viaflo|Natriumklorid B. Braun|Natriumklorid Fresenius Kabi|Natriumklorid Baxter Viaflo|Natriumklorid B. Braun|Natriumklorid Fresenius Kabi|Natriumklorid Baxter Viaflo|Natriumklorid B. Braun|Natriumklorid Fresenius Kabi|Calciumgluconat B. Braun|Calciumgluconat B. Braun",NA,"elektrolyytit|electrolytes|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid baxter viaflo|natriumklorid baxter viaflo|natriumklorid fresenius kabi|natriumklorid baxter|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid baxter viaflo|natriumklorid b. braun|natriumklorid fresenius kabi|natriumklorid b. braun|natriumklorid baxter viaflo|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid baxter viaflo|natriumklorid b. braun|natriumklorid fresenius kabi|natriumklorid baxter viaflo|natriumklorid b. braun|natriumklorid fresenius kabi|natriumklorid baxter viaflo|natriumklorid b. braun|natriumklorid fresenius kabi|calciumgluconat b. braun|calciumgluconat b. braun"
"268","elektrolyytit ja hiilihydraatit","electrolytes and carbohydrates","Natriumklorid-Glucos Baxter Viaflo|Natriumklorid Braun Cum Glucos|Natriumklorid Braun Cum Glucos|Natriumklorid-Glucos Baxter Viaflo|Natriumklorid-Glucos Baxter Viaflo|Natriumklorid Braun Cum Glucos|Natriumklorid Braun Cum Glucos|Natriumklorid-Glucos Baxter Viaflo",NA,"elektrolyytit ja hiilihydraatit|electrolytes and carbohydrates|natriumklorid-glucos baxter viaflo|natriumklorid braun cum glucos|natriumklorid braun cum glucos|natriumklorid-glucos baxter viaflo|natriumklorid-glucos baxter viaflo|natriumklorid braun cum glucos|natriumklorid braun cum glucos|natriumklorid-glucos baxter viaflo"
"269","eletriptaani","eletriptan","Eletriptan Orion|Eletriptan Mylan|Eletriptan Mylan|Eletriptan Orion|Relert|Relert",NA,"eletriptaani|eletriptan|eletriptan orion|eletriptan mylan|eletriptan mylan|eletriptan orion|relert|relert"
"270","emisitsumabi","emissizumab","Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra|Hemlibra",NA,"emisitsumabi|emissizumab|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra|hemlibra"
"271","empagliflotsiini","empagliflocin","Jardiance|Jardiance|Jardiance|Jardiance",NA,"empagliflotsiini|empagliflocin|jardiance|jardiance|jardiance|jardiance"
"272",NA,"Venlafaxin","Effexor","Antidepressant","venlafaxin|effexor"
"273","glimepiridi","glimepiride","Glimepirid Krka|Glimepirid Krka|Amaryl|Oltar|Glimepirid Krka|Amaryl|Glimepirid Krka|Amaryl|Amaryl|Glimepirid Krka|Priglide","Antidiabetic","glimepiridi|glimepiride|glimepirid krka|glimepirid krka|amaryl|oltar|glimepirid krka|amaryl|glimepirid krka|amaryl|amaryl|glimepirid krka|priglide"
"274",NA,"Glipizide","Glucotrol","Antidiabetic","glipizide|glucotrol"
"275",NA,"Glyburide","Diabeta","Antidiabetic","glyburide|diabeta"
"276","pioglitatsoni","pioglitazone","Pioglitazone Accord|Pioglitazone Actavis|Pioglitazone Accord|Pioglitazone Actavis|Pioglitazone Accord|Pioglitazone Accord|Pioglitazone Accord","Antidiabetic","pioglitatsoni|pioglitazone|pioglitazone accord|pioglitazone actavis|pioglitazone accord|pioglitazone actavis|pioglitazone accord|pioglitazone accord|pioglitazone accord"
"277",NA,"Pioglitazone","Actos","Antidiabetic","pioglitazone|actos"
"278",NA,"Meclizine","Dramamine","Antiemetic","meclizine|dramamine"
"279","ondansetroni","ondansetron","Ondansetron Stada|Ondansetron Stada|Ondansetron Stada|Ondansetron Bluefish|Zofran Zydis|Zofran|Ondansetron Stada|Zofran|Ondansetron Stada|Ondansetron Bluefish|Zofran Zydis|Ondansetron Stada|Ondansetron Fresenius Kabi|Ondansetron Fresenius Kabi|Ondansetron Hameln|Ondansetron Hameln|Ondansetron B. Braun|Ondansetron B. Braun|Ondansetron Hameln|Ondansetron Hameln|Ondansetron Accord|Zofran|Zofran|Ondansetron Accord","Antiemetic","ondansetroni|ondansetron|ondansetron stada|ondansetron stada|ondansetron stada|ondansetron bluefish|zofran zydis|zofran|ondansetron stada|zofran|ondansetron stada|ondansetron bluefish|zofran zydis|ondansetron stada|ondansetron fresenius kabi|ondansetron fresenius kabi|ondansetron hameln|ondansetron hameln|ondansetron b. braun|ondansetron b. braun|ondansetron hameln|ondansetron hameln|ondansetron accord|zofran|zofran|ondansetron accord"
"280",NA,"Ondansetron","Zofran","Antiemetic","ondansetron|zofran"
"281",NA,"Carbamazipin","tegretol","Antiepileptic","carbamazipin|tegretol"
"282","lamotrigiini","lamotrigin","Lamictal|Lamotrigin Orion|Lamotrigin Orion|Lamotrigin ratiopharm|Lamotrigin ratiopharm|Lamictal|Lamictal|Lamictal|Lamictal|Lamotrigin Orion|Lamotrigin Orion|Lamotrigin ratiopharm|Lamictal|Lamictal|Lamictal|Lamictal|Lamotrigin Orion|Lamotrigin ratiopharm|Lamictal|Lamictal|Lamotrigin Orion|Lamotrigin ratiopharm|Lamictal","Antiepileptic","lamotrigiini|lamotrigin|lamictal|lamotrigin orion|lamotrigin orion|lamotrigin ratiopharm|lamotrigin ratiopharm|lamictal|lamictal|lamictal|lamictal|lamotrigin orion|lamotrigin orion|lamotrigin ratiopharm|lamictal|lamictal|lamictal|lamictal|lamotrigin orion|lamotrigin ratiopharm|lamictal|lamictal|lamotrigin orion|lamotrigin ratiopharm|lamictal"
"283",NA,"Lamotrigine","Lamictal","Antiepileptic","lamotrigine|lamictal"
"284","klotrimatsoli","clotrimazole","Canesten Kombi|Canesten Kombi|Canesten|Canesten|Canesten|Canesten Soft Kombi","Antifungal","klotrimatsoli|clotrimazole|canesten kombi|canesten kombi|canesten|canesten|canesten|canesten soft kombi"
"285",NA,"Clotrimazole","Lotrimin","Antifungal","clotrimazole|lotrimin"
"286","entakaponi","entacapone","Comtess|Comtess|Comtess|Entacapone Orion",NA,"entakaponi|entacapone|comtess|comtess|comtess|entacapone orion"
"287","flukonatsoli","Fluconazol","Fluconazol Orion|Fluconazol Orion|Fluconazol Orion|Fluconazol Krka|Fluconazol Krka|Fluconazol Krka|Diflucan|Diflucan|Diflucan|Diflucan|Fluconazol Orion|Diflucan|Fluconazol Ratiopharm|Diflucan|Diflucan|Fluconazol Orion|Fluconazol Orion|Fluconazol Krka|Fluconazol Krka|Fluconazol Krka|Diflucan|Diflucan|Fluconazol Orion|Fluconazol Orion|Fluconazol Krka|Fluconazol Krka|Diflucan|Diflucan|Fluconazole B. Braun|Fluconazole B. Braun|Fluconazole B. Braun|Fluconazole B. Braun|Fluconazol Fresenius Kabi|Fluconazol Fresenius Kabi|Diflucan","Antifungal","flukonatsoli|fluconazol|fluconazol orion|fluconazol orion|fluconazol orion|fluconazol krka|fluconazol krka|fluconazol krka|diflucan|diflucan|diflucan|diflucan|fluconazol orion|diflucan|fluconazol ratiopharm|diflucan|diflucan|fluconazol orion|fluconazol orion|fluconazol krka|fluconazol krka|fluconazol krka|diflucan|diflucan|fluconazol orion|fluconazol orion|fluconazol krka|fluconazol krka|diflucan|diflucan|fluconazole b. braun|fluconazole b. braun|fluconazole b. braun|fluconazole b. braun|fluconazol fresenius kabi|fluconazol fresenius kabi|diflucan"
"288","entsalutamidi","entsalutamide","Xtandi|Xtandi",NA,"entsalutamidi|entsalutamide|xtandi|xtandi"
"289","epirubisiini","epirubicin","Epirubicin Accord|Epirubicin SanoSwiss|Epirubicin SanoSwiss|Epirubicin Medac|Epirubicin Medac|Epirubicin Accord|Epirubicin Accord|Epirubicin Accord",NA,"epirubisiini|epirubicin|epirubicin accord|epirubicin sanoswiss|epirubicin sanoswiss|epirubicin medac|epirubicin medac|epirubicin accord|epirubicin accord|epirubicin accord"
"290","epoetiini","epoetin","Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Neorecormon|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit|Retacrit",NA,"epoetiini|epoetin|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|neorecormon|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit|retacrit"
"291",NA,"Fluconazol","Diflucan","Antifungal","fluconazol|diflucan"
"292","ketokonatsoli","ketoconazol","Ketoconazol Ratiopharm|Ketoconazol Ratiopharm|Konact|Konact|Nizoral|Nizoral|Nizoral","Antifungal","ketokonatsoli|ketoconazol|ketoconazol ratiopharm|ketoconazol ratiopharm|konact|konact|nizoral|nizoral|nizoral"
"293","eptifibatidi","eptifibatide","Integrilin|Eptifibatide Accord|Integrilin|Eptifibatide Accord",NA,"eptifibatidi|eptifibatide|integrilin|eptifibatide accord|integrilin|eptifibatide accord"
"294","erdosteiini","erdosteine","Erdopect|Erdopect|Erdopect|Erdopect|Erdopect|Erdopect",NA,"erdosteiini|erdosteine|erdopect|erdopect|erdopect|erdopect|erdopect|erdopect"
"295","eribuliini","eribulin","Halaven|Halaven|Halaven",NA,"eribuliini|eribulin|halaven|halaven|halaven"
"296","erlotinibi","erlotinib","Tarceva|Erlotinib STADA|Erlotinib Krka|Erlotinib Orion|Tarceva|Erlotinib Krka|Erlotinib Orion|Erlotinib Avansor|Erlotinib STADA|Tarceva|Erlotinib Orion|Erlotinib Krka|Tarceva|Erlotinib Avansor|Erlotinib STADA|Tarceva",NA,"erlotinibi|erlotinib|tarceva|erlotinib stada|erlotinib krka|erlotinib orion|tarceva|erlotinib krka|erlotinib orion|erlotinib avansor|erlotinib stada|tarceva|erlotinib orion|erlotinib krka|tarceva|erlotinib avansor|erlotinib stada|tarceva"
"297","ertapeneemi","ertapenem","Invanz|Invanz",NA,"ertapeneemi|ertapenem|invanz|invanz"
"298",NA,"Ketoconazole","Nizoral","Antifungal","ketoconazole|nizoral"
"299","allopurinoli","Allopurinol","Zyloric|Allonol|Apurin Sandoz|Apurin Sandoz|Allopurinol Accord|Zyloric|Allopurinol Accord|Allonol|Allonol|Apurin Sandoz|Apurin Sandoz|Apurin Sandoz|Apurin Sandoz","Antigout","allopurinoli|allopurinol|zyloric|allonol|apurin sandoz|apurin sandoz|allopurinol accord|zyloric|allopurinol accord|allonol|allonol|apurin sandoz|apurin sandoz|apurin sandoz|apurin sandoz"
"300",NA,"Allopurinol","Zyloprim","Antigout","allopurinol|zyloprim"
"301","esketamiini","esketamine","Esketamine Kalceks|Ketanest-S|Esketamine Orifarm|Esketamine Kalceks|Esketamine Orifarm|Ketanest-S|Ketanest-S|Ketanest-S|Ketanest-S|Ketanest-S",NA,"esketamiini|esketamine|esketamine kalceks|ketanest-s|esketamine orifarm|esketamine kalceks|esketamine orifarm|ketanest-s|ketanest-s|ketanest-s|ketanest-s|ketanest-s"
"302","eslikarbatsepiini","eslicarbazepine","Zebinix|Zebinix",NA,"eslikarbatsepiini|eslicarbazepine|zebinix|zebinix"
"303",NA,"Colchicin","Colcrys","Antigout","colchicin|colcrys"
"304",NA,"Febuxostat","Uloric","Antigout","febuxostat|uloric"
"305","setiritsiini","cetirizin","Heinix|Heinix|Cetirizin-ratiopharm|Alzyr|Cetirizin-ratiopharm|Alzyr|Alzyr|Cetirizin-ratiopharm|Heinix|Histec|Histec|Histec|Cetimax|Cetimax|Cetirizin-ratiopharm|Zyrtec|Heinix|Cetirizin Sandoz|Cetimax|Histec|Zyrtec|Cetimax|Cetirizin Sandoz|Cetirizin-ratiopharm|Heinix|Zyrtec|Zyrtec|Zyrtec|Histec|Heinix|Heinix|Histec","Antihistamine","setiritsiini|cetirizin|heinix|heinix|cetirizin-ratiopharm|alzyr|cetirizin-ratiopharm|alzyr|alzyr|cetirizin-ratiopharm|heinix|histec|histec|histec|cetimax|cetimax|cetirizin-ratiopharm|zyrtec|heinix|cetirizin sandoz|cetimax|histec|zyrtec|cetimax|cetirizin sandoz|cetirizin-ratiopharm|heinix|zyrtec|zyrtec|zyrtec|histec|heinix|heinix|histec"
"306","estradioli","estradiol","Estrofem|Zumenon|Vagidonna|Vagifem|Vagifem|Vagidonna",NA,"estradioli|estradiol|estrofem|zumenon|vagidonna|vagifem|vagifem|vagidonna"
"307","estrioli","estriol","Ovestin|Ovestin|Ovestin|Ovestin|Pausanol|Ovestin|Ovestin|Ovestin|Ovestin",NA,"estrioli|estriol|ovestin|ovestin|ovestin|ovestin|pausanol|ovestin|ovestin|ovestin|ovestin"
"308",NA,"Cetirizin","Zyrtec","Antihistamine","cetirizin|zyrtec"
"309","desloratadiini","desloratadine","Kevenix|Desloratadin Stada|Aerius|Aerius|Aerius|Deslox|Desloratadin Orion|Desloratadin Mylan|Flynise|Desloratadine Sandoz|Desloratadine Actavis|Desloratadine Actavis|Desloratadin Mylan|Dasselta|Desloratadin Mylan|Aerius|Desloratadin Stada|Desloratadin Stada|Kevenix|Dasselta|Deslox|Flynise|Deslox|Desloratadin Mylan|Desloratadine Sandoz|Deslox|Kevenix|Desloratadin Orion|Desloratadine Sandoz|Flynise|Dasselta|Deslox|Caredin|Desloratadine Sandoz|Deslox|Caredin","Antihistamine","desloratadiini|desloratadine|kevenix|desloratadin stada|aerius|aerius|aerius|deslox|desloratadin orion|desloratadin mylan|flynise|desloratadine sandoz|desloratadine actavis|desloratadine actavis|desloratadin mylan|dasselta|desloratadin mylan|aerius|desloratadin stada|desloratadin stada|kevenix|dasselta|deslox|flynise|deslox|desloratadin mylan|desloratadine sandoz|deslox|kevenix|desloratadin orion|desloratadine sandoz|flynise|dasselta|deslox|caredin|desloratadine sandoz|deslox|caredin"
"310","feksofenadiini","fexofenadine","Telfast|Telfast|Nefoxef|Telfast|Fexorin|Telfast|Fexorin|Fexofenadine ratiopharm|Fexorin|Fexofenadine ratiopharm|Fexofenadine ratiopharm|Telfast|Telfast","Antihistamine","feksofenadiini|fexofenadine|telfast|telfast|nefoxef|telfast|fexorin|telfast|fexorin|fexofenadine ratiopharm|fexorin|fexofenadine ratiopharm|fexofenadine ratiopharm|telfast|telfast"
"311","gestodeeni ja etinyyliestradioli","ethinyl estradiol","Femoden|Femoden|Femoden|Meliane|Meliane|Meliane|Meliane|Meliane",NA,"gestodeeni ja etinyyliestradioli|ethinyl estradiol|femoden|femoden|femoden|meliane|meliane|meliane|meliane|meliane"
"312","etonogestreeli","etonogestrel","Nexplanon|Nexplanon|Nexplanon",NA,"etonogestreeli|etonogestrel|nexplanon|nexplanon|nexplanon"
"313","etoposidi","etoposide","Etoposide Accord|Etoposide Accord|Etoposid Fresenius Kabi",NA,"etoposidi|etoposide|etoposide accord|etoposide accord|etoposid fresenius kabi"
